YELLOW_DIAMOND
5800
5980
5980
5980
5980
5980
5980
5980
5980
5980
5980
5980
4300.0
4300.0
4300.0
4224.0
4100.0
4100.0
4100.0
4300.0
4360.0
4360.0
4400.0
4400.0
4400.0
4400.0
4400.0
4400.0
4500.0
4500.0
4500.0
4500.0
4500.0
4500.0
4500.0
4500.0
4500.0
4500.0
4488.0
4488.0
4300.0
4300.0
4300.0
4300.0
4260.0
4260.0
4300.0
4299.0
4299.0
4300.0
4300.0
4300.0
4500.0
4450.0
4450.0
4450.0
4400.0
4300.0
4400.0
4400.0
4400.0
4400.0
4400.0
4400.0
4500.0
4545.0
4594.0
4594.0
4594.0
4594.0
4594.0
4594.0
4594.0
4590.0
4590.0
4500.0
4300.0
4500.0
