Time,Dragon_Fruit,Ding,SpaceXNaut_Dog,Bake_Musk_Mixer,Raca_Punk
10/01/2022 06:24:37,137500,55556,92000,634000,2130000
10/01/2022 06:30:02,137500,55556,92000,634000,2130000
10/01/2022 06:35:27,137500,55556,92000,634000,2130000
10/01/2022 06:40:52,137500,55556,92000,634000,2130000
10/01/2022 06:46:17,137500,55556,92000,634000,2130000
10/01/2022 06:51:43,137500,55556,92000,634000,2130000
10/01/2022 06:57:08,137500,55556,92000,634000,2130000
10/01/2022 07:02:33,137500,55556,92000,634000,2130000
10/01/2022 07:07:58,137500,55556,92000,634000,2130000
10/01/2022 07:13:24,137500,55556,92000,634000,2130000
10/01/2022 07:18:49,137500,55556,92000,634000,2130000
10/01/2022 07:24:14,137500,55556,92000,634000,2130000
10/01/2022 07:29:40,137500,55556,92000,634000,2130000
10/01/2022 07:35:05,137500,55556,92000,634000,2130000
10/01/2022 07:40:30,137500,55556,92000,634000,2130000
10/01/2022 07:45:55,137500,55556,92000,634000,2130000
10/01/2022 07:51:20,137500,55556,92000,634000,2130000
10/01/2022 07:56:45,137500,55556,92000,634000,2130000
10/01/2022 08:02:11,137500,55556,92000,634000,2130000
10/01/2022 08:07:36,137500,55556,92000,634000,2130000
10/01/2022 08:13:01,137500,55556,92000,634000,2130000
10/01/2022 08:18:26,137500,55556,92000,634000,2130000
10/01/2022 08:23:52,137500,55556,92000,634000,2130000
10/01/2022 08:29:17,137500,55556,92000,634000,2130000
10/01/2022 08:34:42,137500,55556,92000,634000,2130000
10/01/2022 08:40:08,137500,55556,92000,634000,2130000
10/01/2022 08:45:33,137500,55556,92000,634000,2130000
10/01/2022 08:50:58,137500,55556,92000,634000,2130000
10/01/2022 08:56:24,137500,55556,92000,634000,2130000
10/01/2022 09:01:49,137500,55556,92000,634000,2130000
10/01/2022 09:07:14,137500,55556,92000,634000,2130000
10/01/2022 09:12:40,137500,55556,92000,634000,2130000
10/01/2022 09:18:05,137500,55556,92000,634000,2130000
10/01/2022 09:23:30,137500,55556,92000,634000,2130000
10/01/2022 09:28:56,137500,55556,92000,634000,2130000
10/01/2022 09:34:21,137500,55556,92000,634000,2130000
10/01/2022 09:39:46,137500,55556,92000,634000,2130000
10/01/2022 09:45:11,137500,55556,92000,634000,2130000
10/01/2022 09:50:37,137500,55556,92000,635550,2130000
10/01/2022 09:56:02,137500,55556,92000,635550,2130000
10/01/2022 10:01:27,137500,55556,92000,635550,2130000
10/01/2022 10:06:53,137499,55556,92000,635550,2130000
10/01/2022 10:12:18,137499,55556,92000,635550,2130000
