Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
06/01/2022 14:33:24,333000,369990,700000,1190000
06/01/2022 14:36:43,333000,369990,700000,1190000
06/01/2022 14:38:26,333000,369990,700000,1190000
06/01/2022 14:41:45,332000,369990,700000,1190000
06/01/2022 14:43:28,332000,369990,700000,1190000
06/01/2022 14:46:47,333000,369990,700000,1190000
06/01/2022 14:48:30,333000,369990,700000,1190000
06/01/2022 14:51:49,333231,369990,700000,1190000
06/01/2022 14:53:32,333231,369990,700000,1190000
06/01/2022 14:56:51,334500,369990,700000,1190000
06/01/2022 14:58:01,335000,369990,700000,1190000
06/01/2022 15:01:53,336666,369990,700000,1190000
06/01/2022 15:03:02,336666,369990,700000,1190000
06/01/2022 15:06:55,336666,369990,700000,1190000
06/01/2022 15:08:04,336666,368000,700000,1190000
06/01/2022 15:11:57,333900,368000,700000,1190000
06/01/2022 15:12:42,333900,368000,700000,1190000
06/01/2022 15:12:50,333900,369990,700000,1190000
06/01/2022 15:13:05,333900,369990,700000,1190000
06/01/2022 15:17:52,333900,367999,700000,1190000
06/01/2022 15:18:12,333900,367999,700000,1190000
06/01/2022 15:22:54,333900,367999,700000,1190000
06/01/2022 15:23:13,333900,367999,700000,1190000
06/01/2022 17:09:09,330000,370000,720000,1200000
06/01/2022 17:09:24,330000,370000,720000,1200000
06/01/2022 17:14:11,330000,370000,720000,1200000
06/01/2022 17:14:25,330000,370000,720000,1200000
06/01/2022 17:15:13,330000,370000,720000,1200000
06/01/2022 17:18:50,330000,370000,720000,1200000
06/01/2022 17:20:15,330000,370000,720000,1199000
06/01/2022 17:23:52,338888,370000,720000,1199000
06/01/2022 17:25:17,339999,370000,720000,1199000
06/01/2022 17:28:53,339999,370000,720000,1199000
06/01/2022 17:30:19,340000,370000,720000,1199000
06/01/2022 17:33:54,338000,370000,720000,1199000
06/01/2022 17:35:22,338000,370000,720000,1199000
06/01/2022 17:38:56,340000,370000,720000,1199000
06/01/2022 17:40:23,340000,370000,720000,1199000
06/01/2022 17:43:58,339000,370000,720000,1199000
06/01/2022 17:45:25,339000,370000,720000,1199000
06/01/2022 17:49:00,339000,370000,720000,1199000
06/01/2022 17:50:27,339000,370000,720000,1199000
06/01/2022 17:54:02,340000,370000,720000,1200000
06/01/2022 17:55:29,340000,370000,720000,1200000
06/01/2022 17:59:04,340000,370000,720000,1200000
06/01/2022 18:00:31,340000,370000,720000,1200000
06/01/2022 18:04:06,349999,370000,720000,1199990
06/01/2022 18:05:33,349999,370000,719888,1199990
06/01/2022 18:09:08,360000,369888,719888,1199990
06/01/2022 18:10:35,360000,369888,719888,1199990
06/01/2022 18:14:10,366660,369888,719888,1199990
