DRAGON_FRUIT,PURPLE,BLACK
145000,151000,46999
145000,151000,46999
145000,148999,46999
145000,148999,46999
149000,148999,46999
149000,148999,46999
149000,148999,46999
149000,148999,46999
140000,152000,46490
140000,152000,46490
140000,152000,46490
140000,152000,46490
140000,152000,46490
149000,152000,46490
149000,154000,46490
149000,150000,46490
149000,150000,46490
149000,150000,46490
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,150000,43333
149000,146999,43333
149000,146999,43333
149000,146999,43333
149000,145000,46490
149000,145000,49000
149000,145000,55000
149000,145000,55000
149000,145000,55000
149000,145000,55000
149000,145000,55000
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,138999,54490
149000,138999,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54490
149000,140000,54000
149000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,140000,54000
148000,142000,54000
148000,142000,54000
148000,142000,54000
148000,142000,54000
148000,142000,54000
148000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,142000,54000
145000,141999,54000
145000,141999,54000
145000,141999,54000
145000,140000,54000
145000,140000,54000
145000,140000,54000
145000,140000,54000
145000,138999,54000
145000,138999,54000
145000,138999,54000
145000,138999,54000
145000,138999,54000
145000,138999,54000
145000,138999,54000
145000,135000,54000
145000,135000,54000
145000,135000,54000
145000,135000,54000
145000,135000,54000
145000,135000,54000
145000,135000,54000
145000,134000,54000
145000,134000,54000
145000,134000,54000
145000,134000,54000
147999,119999,54000
147999,134000,54000
147999,134000,54000
147999,134000,54000
147999,134000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,120000,54000
147999,120000,54000
147999,120000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,133000,54000
147999,131000,54000
147666,131000,54000
147666,131000,54000
147666,131000,54000
147666,131000,54000
147666,131000,54000
147666,131000,54000
147666,133000,54000
147666,133000,54000
147666,133000,54000
147666,133000,54000
147666,133000,54000
147666,133000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,131000,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,130999,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,134000,54000
147666,138999,54000
147666,138999,54000
147666,138999,54000
147666,138999,54000
140000,138999,54000
140000,138999,54000
140000,138999,54000
147666,138999,54000
147666,138999,54000
147666,138999,54000
147666,138999,54000
147666,138999,54000
147666,138999,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,54000
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,53999
147666,140000,52000
147666,140000,52000
147666,140000,52000
147666,140000,52000
147666,140000,52000
147666,140000,52000
147666,140000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,52000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147666,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,142000,50000
147999,140000,50000
147999,140000,50000
147999,140000,50000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,142000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,141000,49000
147000,140990,49000
147000,140990,49000
147999,140990,49000
147999,140990,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
