DRAGON_FRUIT,PURPLE,BLACK
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
145000,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147980,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
147999,141000,49000
