EGG,POTION
3999,1580
3999,1590
3999,1500
3999,1500
3999,1500
3999,1581
3999,1581
3900,1581
3940,1300
3940,1599
3950,1590
3950,1599
3950,1599
3900,1599
3850,1599
3950,1599
3850,1600
3900,1669
3900,1669
3950,1600
3975,1600
3975,1655
3940,1669
3990,1599
3990,1669
3850,1670
3850,1600
3850,1500
3900,1500
3970,1670
3971,1670
3969,1679
3969,1600
3960,1600
3950,1679
3978,1600
3970,1650
3970,1550
3970,1500
3970,1500
3970,1500
3970,1500
3970,1500
3970,1500
3900,1500
3980,1500
3980,1450
3999,1450
3998,1400
3999.9,1400
3900,1400
3900,1400
3900,1400
3900,1400
3900,1400
3918,1400
3999,1400
3900,1400
3990,1400
3990,1400
3900,1450
3980,1500
3960,1500
3900,1450
3790,1500
3850,1550
3800,1500
3800,1679
3900,1650
3899,1650
3748,1660
3600,1650
3749,1650
3700,1690
3699,1700
3699,1700
3700,1700
3599,1699
3499,1699
3599,1699
3599,1697
3550,1698
3700,1698
3680,1600
3680,1599
3699,1699
3700,1699
3756,1670
3750,1670
3780,1670
3750,1685
3750,1666
3800,1665
3879,1665
3845,1665
3800,1664
3840,1664
3840,1739
3879,1750
3881,1650
3882,1650
3880,1650
3879,1650
3879,1650
3880,1650
3880,1648
3886,1648
3878,1645
3839,1638
3885,1638
3885,1620
3880,1611
3880,1600
3880,1599
3887,1599
3800,1270
3800,1595
3887,1590
3887,1589
3888,1589
3889,1589
3890,1589
3897,1590
3897,1590
3800,1590
3800,1588
3800,1580
3800,1580
3850,1585
3850,1585
3850,1580
3850,1585
3850,1583
3850,1583
3850,1580
3850,1580
3850,1580
3850,1580
3850,1580
3850,1580
3850,1580
3840,1580
3830,1580
3850,1580
3770,1580
3770,1580
3750,1580
3700,1579
3700,1575
3700,1575
3700,1575
3700,1575
3700,1575
3750,1575
3750,1575
3750,1575
3770,1575
3750,1575
3750,1575
3700,1575
3770,1575
3770,1575
3770,1580
3770,1575
3790,1450
3800,1400
3850,1450
3850,1450
3860,1450
3897,1450
3896,1450
3896,1450
3900,1450
3900,1450
3900,1500
3900,1500
3900,1570
3899,1569
3899,1568
3899,1490
3899,1490
3899,1560
3899,1560
3899,1500
3850,1500
3850,1500
3850,1550
3850,1550
3850,1490
3890,1489
3898,1500
3898,1490
3898,1489
3898,1489
3898,1489
3898,1489
3898,1489
3898,1489
3897,1489
3897,1489
3897,1547
3800,1548
3897,1548
3898,1548
3898,1548
3899,1548
3899,1548
3900,1548
3900,1548
3900,1548
3890,1548
3890,1549
3890,1549
3900,1549
3850,1549
3850,1549
3900,1550
3900,1550
3900,1550
3900,1550
3900,1550
3900,1550
3800,1550
3800,1550
3890,1550
3800,1540
3890,1540
3890,1540
3889,1550
3884,1550
3884,1550
3900,1550
3900,1550
3900,1550
3900,1568
3950,1568
3950,1568
3959,1568
3998,1560
3997,1560
3950,1500
3998,1550
3998,1550
3998,1569
3950,1569
3950,1569
3920,1569
3940,1569
3940,1569
